NORAD_CAT_ID,MSG_EPOCH,INSERT_EPOCH,DECAY_EPOCH,WINDOW,REV,DIRECTION,LAT,LON,INCL,NEXT_REPORT,ID,HIGH_INTEREST,OBJECT_NUMBER,query_day_utc,query_date_field,message_type
28773,2025-01-03 20:57:00,2025-01-03 21:18:35,2025-01-05 20:05:00,600,7880,descending,-6.5,309,31.4,24,37517,N,28773,2025-01-03,MSG_EPOCH,tip
42994,2025-01-03 23:05:00,2025-01-03 23:18:35,2025-01-04 01:08:00,37,39972,descending,53.4,208.6,97.4,0,37521,N,42994,2025-01-03,MSG_EPOCH,tip
42994,2025-01-03 19:02:00,2025-01-03 19:18:33,2025-01-04 01:26:00,120,39972,descending,-17.3,191.9,97.4,2,37514,N,42994,2025-01-03,MSG_EPOCH,tip
45757,2025-01-03 23:36:00,2025-01-03 23:58:35,2025-01-04 05:35:00,120,25349,descending,35.2,181.6,53,2,37522,N,45757,2025-01-03,MSG_EPOCH,tip
45757,2025-01-03 18:28:00,2025-01-03 18:38:40,2025-01-04 05:53:00,120,25351,descending,-23.6,227.9,53,6,37513,N,45757,2025-01-03,MSG_EPOCH,tip
45757,2025-01-03 08:14:00,2025-01-03 08:29:00,2025-01-04 06:47:00,360,25350,ascending,48.8,74.1,53.1,12,37505,N,45757,2025-01-03,MSG_EPOCH,tip
47642,2025-01-03 20:07:00,2025-01-03 20:18:35,2025-01-03 16:01:00,1,21504,descending,-37.1,45.7,53,0,37515,N,47642,2025-01-03,MSG_EPOCH,tip
47642,2025-01-03 10:23:00,2025-01-03 10:38:34,2025-01-03 22:53:00,180,21508,descending,50,203.8,53,6,37507,N,47642,2025-01-03,MSG_EPOCH,tip
47740,2025-01-03 23:00:00,2025-01-03 23:08:33,2025-01-04 10:42:00,120,21270,descending,2.2,231.8,53,6,37520,N,47740,2025-01-03,MSG_EPOCH,tip
47740,2025-01-03 13:58:00,2025-01-03 14:18:36,2025-01-04 11:07:00,300,21270,ascending,-51.9,334,53,12,37509,N,47740,2025-01-03,MSG_EPOCH,tip
47763,2025-01-03 08:17:00,2025-01-03 08:29:00,2025-01-07 07:25:00,1140,21314,descending,-9.8,273.8,53.1,72,37506,N,47763,2025-01-03,MSG_EPOCH,tip
51978,2025-01-03 22:21:00,2025-01-03 22:28:50,2025-01-04 10:40:00,180,15765,ascending,-40.4,200.9,53.2,6,37519,N,51978,2025-01-03,MSG_EPOCH,tip
51978,2025-01-03 03:41:00,2025-01-03 03:58:36,2025-01-06 00:45:00,900,15791,ascending,-50.2,315.1,53.2,48,37503,N,51978,2025-01-03,MSG_EPOCH,tip
52124,2025-01-03 17:28:00,2025-01-03 17:48:50,2025-01-04 16:52:00,300,15635,ascending,-29.3,159.5,53.2,12,37512,N,52124,2025-01-03,MSG_EPOCH,tip
52624,2025-01-03 14:53:00,2025-01-03 15:08:44,2025-01-05 00:21:00,420,14699,descending,41.1,38.3,53.2,24,37510,N,52624,2025-01-03,MSG_EPOCH,tip
54769,2025-01-03 20:50:00,2025-01-03 20:58:35,2025-01-03 23:17:00,60,11536,descending,16.6,224.4,53.2,0,37516,N,54769,2025-01-03,MSG_EPOCH,tip
54769,2025-01-03 16:27:00,2025-01-03 16:38:37,2025-01-03 22:56:00,120,11536,ascending,49.2,122.6,53.2,2,37511,N,54769,2025-01-03,MSG_EPOCH,tip
54769,2025-01-03 10:51:00,2025-01-03 11:08:54,2025-01-03 22:49:00,180,11537,ascending,34.4,95.1,53.2,6,37508,N,54769,2025-01-03,MSG_EPOCH,tip
54769,2025-01-03 01:37:00,2025-01-03 01:48:34,2025-01-03 22:50:00,300,11537,ascending,35.5,96.3,53.2,12,37502,N,54769,2025-01-03,MSG_EPOCH,tip
57804,2025-01-03 20:03:00,2025-01-03 21:58:35,2025-01-03 12:40:00,1,341,ascending,-12.3,7,29.8,0,37518,Y,57804,2025-01-03,MSG_EPOCH,tip
57804,2025-01-03 07:24:00,2025-01-03 07:38:45,2025-01-03 13:28:00,240,341,ascending,-1.1,15.2,29.8,2,37504,N,57804,2025-01-03,MSG_EPOCH,tip
