NORAD_CAT_ID,MSG_EPOCH,INSERT_EPOCH,DECAY_EPOCH,WINDOW,REV,DIRECTION,LAT,LON,INCL,NEXT_REPORT,ID,HIGH_INTEREST,OBJECT_NUMBER,query_day_utc,query_date_field,message_type
42994,2025-01-01 07:48:00,2025-01-01 07:58:40,2025-01-04 06:36:00,900,39977,ascending,15.3,294.8,97.4,48,37485,N,42994,2025-01-01,MSG_EPOCH,tip
45562,2025-01-01 07:05:00,2025-01-01 07:28:38,2025-01-01 02:40:00,1,26068,ascending,-20.8,33.9,53,0,37483,N,45562,2025-01-01,MSG_EPOCH,tip
45562,2025-01-01 00:16:00,2025-01-01 00:28:35,2025-01-01 02:25:00,41,26068,descending,-50.2,299.4,53,0,37479,N,45562,2025-01-01,MSG_EPOCH,tip
45757,2025-01-01 05:32:00,2025-01-01 05:48:36,2025-01-05 02:25:00,1140,25364,descending,-12.6,264.8,53,72,37480,N,45757,2025-01-01,MSG_EPOCH,tip
47372,2025-01-01 23:42:00,2025-01-01 23:48:49,2025-01-03 23:11:00,600,21870,ascending,-3.4,66.6,53,24,37496,N,47372,2025-01-01,MSG_EPOCH,tip
47372,2025-01-01 19:57:00,2025-01-01 20:08:34,2025-01-03 23:11:00,600,21870,ascending,-4,66.2,53,48,37493,N,47372,2025-01-01,MSG_EPOCH,tip
47642,2025-01-01 08:31:00,2025-01-01 08:38:35,2025-01-04 08:39:00,1020,21514,ascending,-29.3,273.5,53,48,37487,N,47642,2025-01-01,MSG_EPOCH,tip
47740,2025-01-01 08:42:00,2025-01-01 08:48:34,2025-01-05 09:09:00,1140,21285,descending,-49.4,311.7,53,72,37488,N,47740,2025-01-01,MSG_EPOCH,tip
48585,2025-01-01 22:09:00,2025-01-01 22:18:39,2025-01-01 19:27:00,1,20064,ascending,-12.5,267.2,53,0,37495,N,48585,2025-01-01,MSG_EPOCH,tip
48585,2025-01-01 17:26:00,2025-01-01 17:38:35,2025-01-01 19:12:00,33,20065,ascending,30.5,257.7,53,0,37490,N,48585,2025-01-01,MSG_EPOCH,tip
48585,2025-01-01 08:07:00,2025-01-01 08:18:52,2025-01-01 19:59:00,120,20065,descending,-41.1,80.3,53,6,37486,N,48585,2025-01-01,MSG_EPOCH,tip
52460,2025-01-01 06:23:00,2025-01-01 06:38:58,2025-01-01 01:34:00,1,14726,descending,24.3,214.6,53.2,0,37482,N,52460,2025-01-01,MSG_EPOCH,tip
53714,2025-01-01 11:33:00,2025-01-01 11:48:35,2025-01-01 13:48:00,39,12985,descending,-23.8,237.8,53.2,0,37489,N,53714,2025-01-01,MSG_EPOCH,tip
53714,2025-01-01 07:26:00,2025-01-01 07:48:33,2025-01-01 13:48:00,120,12985,descending,-26,239.8,53.2,2,37484,N,53714,2025-01-01,MSG_EPOCH,tip
54769,2025-01-01 21:30:00,2025-01-01 21:48:37,2025-01-04 03:31:00,660,11539,descending,45.6,123.1,53.2,48,37494,N,54769,2025-01-01,MSG_EPOCH,tip
56033,2025-01-01 18:01:00,2025-01-01 18:18:35,2025-01-02 17:40:00,300,9856,ascending,0,188.5,43,12,37491,N,56033,2025-01-01,MSG_EPOCH,tip
56091,2025-01-01 19:07:00,2025-01-01 19:18:36,2025-01-05 15:39:00,1260,2987,ascending,-41.5,100.6,96.3,72,37492,N,56091,2025-01-01,MSG_EPOCH,tip
57103,2025-01-01 05:37:00,2025-01-01 05:58:35,2025-01-01 03:18:00,1,8483,ascending,-24.3,230.1,43,0,37481,N,57103,2025-01-01,MSG_EPOCH,tip
